,id,name
0,GYSA,"Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year"
1,DOBSA,"Deflator, OECD reference year, seasonally adjusted"
2,VIXOBSA,"Volume index, OECD reference year, seasonally adjusted"
3,VPVOBARSA,"US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted"
4,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted"
5,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter"
6,PERSA,"Persons, seasonally adjusted"
7,HCPCARSA,"Per Head, US $, current prices, current PPPs, seasonally adjusted"
8,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted"
9,GCUMSA,"Cumulative growth based on seasonally adjusted volume data, percentage change on Q4-2019"
