country,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
subject,B11,B11,B11,B11,B1G,B1G,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,D21_D31,D21_D31,DB1_GE,DB1_GE,DB1_GE,DB1_GE,P3,P3,P3,P3,P3,P31S13,P31S13,P31S13,P31S13,P31S14,P31S14,P31S14,P31S14,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S15,P31S15,P31S15,P31S15,P32S13,P32S13,P32S13,P32S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P41,P41,P41,P41,P5,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51A,P51A,P51N1111,P51N1111,P51N1113,P51N1113,P51N11131,P51N11131,P51N1113I,P51N1113I,P51N1113O,P51N1113O,P51N1114,P51N1114,P51N112,P51N112,P52,P52,P52,P52,P52_P53,P52_P53,P52_P53,P52_P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P61,P61,P61,P61,P62,P62,P62,P62,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P71,P71,P71,P71,P72,P72,P72,P72,PPPGDP,RB1_GA,RB1_GA,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,VNBQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,DNBSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,DNBSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DNBSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CD,CQR,VNBQR,CARSA,CQR,CQRSA,VNBQR,VNBQRSA,VOBARSA
unit,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Index,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Index,Index,Percentage,Percentage,Index,Rupiah,Rupiah,Rupiah,US Dollar,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah,Rupiah
powercode,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Units,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Units,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Units,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,,2010,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,2010,,,2010,2010,,,,2010,2010,,,2010,2010,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,,2010,2010,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,,2010,2010,,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,,2010,2010,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,,2010,2010,,,2010,2010,,,,,,2015,,,2015,2010,2010,2015,2015,,,2010,2010,,,2010,2010,,,2010,,,,2010,2010,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253502.9,724784.6,,253502.9,,7.261975329,,,30.285656166,,,3490825.5,801875.3,,,,,,,,,,,,,,,,,,,,119176.4,340734.6,,,,6.861300911,,,26.23024446,,,1736935.4,398990.3,,,,,,,,,21552.8,61621.3,,,,5.78559626,,,33.15024384,,,372525.8,85572.7,,,,,,,,,,74130.0,211943.6,,,,6.338914401,,,30.921209907,,,1169443.8,268632.2,,,,,,,,,,,,,,,,,,,,,,,,,61086.8,174652.0,,,,10.861769113,,,23.058787472,,,562402.1,129189.0,,,,,,,,,58489.8,167226.8,,,,11.551606823,,,21.142374518,,,506334.4,116309.7,,,,,,,,,349.76306,,,36046.6,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300511.7,815606.4,,300511.7,,7.903051639,8.927725584,8.927725584,32.98947644,,,3802476.8,873464.5,,,,,,,,,,,,,,,,,,,,142843.2,387684.9,,,,7.519530754,9.366730612,9.366730612,28.687160797,,,1899629.4,436362.7,,,,,,,,,25962.0,70462.5,,,,6.37824906,9.265003528,9.265003528,36.221615102,,,407040.4,93501.0,,,,,,,,,,87156.3,236547.2,,,,6.89300645,8.121110544,8.121110544,33.432355545,,,1264415.7,290448.1,,,,,,,,,,,,,,,,,,,,,,,,,74867.5,203194.8,,,,10.882992487,22.320157803,22.320157803,28.205545223,,,687931.2,158024.2,,,,,,,,,71959.2,195301.4,,,,11.960446728,18.823226129,18.823226129,25.122051483,,,601642.8,138203.0,,,,,,,,,368.4519,,,41641.9,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339494.5,878382.1,,339494.5,,8.381432736,6.524117989,6.524117989,35.141748807,,,4050554.9,930450.4,,,,,,,,,,,,,,,,,,,,153483.4,397111.2,,,,7.795215756,3.648829649,3.648829649,29.733906426,,,1968943.7,452284.8,,,,,,,,,30566.6,79085.7,,,,7.043226379,6.619919731,6.619919731,38.619456947,,,433986.1,99690.7,,,,,,,,,,95555.5,247232.8,,,,7.146030579,5.754963077,5.754963077,35.356375262,,,1337182.3,307163.3,,,,,,,,,,,,,,,,,,,,,,,,,90834.3,235017.8,,,,11.678667916,13.060704508,13.060704508,31.889388139,,,777779.8,178663.3,,,,,,,,,81543.7,210980.0,,,,12.620593832,7.392022206,7.392022206,26.979079107,,,646116.4,148419.0,,,,,,,,,386.49984,,,50598.4,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396455.8,881284.4,,396455.8,,9.066416729,7.955437139,7.955437139,37.937428543,,,4372794.3,1004471.8,,,,,,,,,,,,,,,,,,,,200501.3,445695.9,,,,8.482217588,20.053432184,20.053432184,35.696575187,,,2363784.5,542983.4,,,,,,,,,33838.9,75220.7,,,,7.872926371,-0.961538462,-0.961538462,38.248116015,,,429813.2,98732.1,,,,,,,,,,107601.7,239188.6,,,,7.968665254,0.981768652,0.981768652,35.70349307,,,1350310.3,310178.9,,,,,,,,,,,,,,,,,,,,,,,,,96500.8,214512.4,,,,12.816863438,-3.196151145,-3.196151145,30.870155095,,,752920.8,172953.0,,,,,,,,,83619.0,185877.2,,,,11.115224071,16.432933305,16.432933305,31.412533183,,,752292.3,172808.6,,,,,,,,,449.86129,,,41632.0,,,,,
