,id,name
0,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted"
1,LNBQRSA,"National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted"
2,CARSA,"National currency, current prices, annual levels, seasonally adjusted"
3,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted"
4,DNBSA,"Deflator, national base/reference year, seasonally adjusted"
5,DOBSA,"Deflator, OECD reference year, seasonally adjusted"
6,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter"
7,GYSA,"Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year"
8,VIXOBSA,"Volume index, OECD reference year, seasonally adjusted"
9,VOBARSA,"National currency, volume estimates, OECD reference year, annual levels, seasonally adjusted"
10,VPVOBARSA,"US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted"
11,PERSA,"Persons, seasonally adjusted"
12,PER,Persons
13,CTQRGPSA,"Contributions to Q-o-Q GDP growth, seasonally adjusted"
14,HRSSA,"Hours worked, seasonally adjusted"
15,HVPVOBARSA,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted"
16,HCPCARSA,"Per Head, US $, current prices, current PPPs, seasonally adjusted"
17,CD,National currency per US Dollar
18,CQR,"National currency, current prices, quarterly levels"
19,LNBQR,"National currency, chained volume estimates, national reference year, quarterly levels"
20,HRS,Hours worked
21,GCUMSA,"Cumulative growth based on seasonally adjusted volume data, percentage change on Q4-2019"
