,id,name
0,PCGNPA,Net purchases abroad
1,B1_GA,Gross domestic product at market prices - output approach
2,B1_GE,Gross domestic product - expenditure approach
3,B1_GI,Gross domestic product - income approach
4,B1_GS1,Gross domestic product
5,B1G,"Gross value added at basic prices, total activity"
6,B2G_B3G,Gross operating surplus and mixed income
7,B2N_B3N,Net operating surplus and mixed income
8,B5_GS1,Gross national income at market prices
9,B5_NS1,Net national income at market prices
10,B6NS1,Net national disposable income
11,B8NS1,Net saving
12,B9S1,Net lending/net borrowing
13,D1,"Compensation of employees, total"
14,D1_D4NFRS2,Net primary incomes from the rest of the world
15,D11,"Wages and salaries, total"
16,D1S1,Compensation of employees
17,D2_D3,Taxes less subsidies on production and imports
18,D21_D31,Taxes less subsidies on products
19,D21S1,Taxes on products
20,D2S1,Taxes on production and imports
21,D31S1,Subsidies on products
22,D3S1,Subsidies on production and imports
23,D5_D7NFRS2,Net current transfers from the rest of the world
24,D9FRS2,Capital transfers receivable from the rest of the world
25,D9NFRS2,Net capital transfers from the rest of the world
26,D9TOS2,Capital transfers payable to the rest of the world
27,EEM,"Employees, total"
28,EEMNC,Employees
29,ESE,"Self-employed, total"
30,ESENC,Self-employed
31,ETO,"Employment, total"
32,ETONC,Total employment
33,K1,Consumption of fixed capital
34,K1MS1,Consumption of fixed capital
35,K1S1,Consumption of fixed capital
36,P3,Final consumption expenditure
37,P311B,Durable goods
38,P312B,Semi-durable goods
39,P312N,Other goods and services
40,P313B,Non-durable goods
41,P314B,Services
42,P31DC,Households consumption expenditure (Domestic Concept)
43,P31NC,Households consumption expenditure (National Concept)
44,P31S13,Individual consumption expenditure of general government
45,P31S14,Final consumption expenditure of households
46,P31S14_S15,Private final consumption expenditure
47,P31S14_S15B,Private final consumption expenditure by durability
48,P31S15,Final consumption expenditure of non-profit institutions serving households
49,P31S15B,Final consumption expenditure of non-profit institutions serving households
50,P32S13,Collective consumption expenditure of general government
51,P3S1,Final consumption expenditure
52,P3S13,General government final consumption expenditure
53,P41,add. Actual individual consumption
54,P5,Gross capital formation
55,P51,Gross fixed capital formation
56,P51A,Gross fixed capital formation by asset
57,P51S,GFCF by institutional sector
58,P51S13,General government
59,P51S1LESSS13,Non-government
60,P52,Changes in inventories
61,P52_P53,Changes in inventories and acquisitions less disposals of valuables
62,P53,Acquisitions less disposals of valuables
63,P5S1,Gross capital formation
64,P6,Exports of goods and services
65,P61,Exports of goods
66,P62,Exports of services
67,P7,Imports of goods and services
68,P71,Imports of goods
69,P72,Imports of services
70,POPNC,Total population
71,RB1_GA,Residual item
72,RB1_GE,Residual item
73,RB1_GI,Residual item
74,RB1_GS1,Residual item
75,RP31DC,Residual item
76,D1_D4FRS2,Primary incomes receivable from the rest of the world
77,D1_D4TOS2,Primary incomes payable to the rest of the world
78,D5_D7FRS2,Current transfers receivable from the rest of the world
