country,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVG_U,B1GVL,B1GVL,B1GVL,B1GVL,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1_GA,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,D21_D31,D21_D31,D21_D31,D21_D31,DB1_GE,DB1_GE,DB1_GE,DB1_GE,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P5,P5,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P52,P52,P52,P52,P52_P53,P52_P53,P52_P53,P52_P53,P53,P53,P53,P53,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,PPPGDP,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CD,CARSA,CQR,CQRSA,VNBQR,VNBQRSA,VOBARSA
unit,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Index,Percentage,Percentage,Index,Indian Rupee,Indian Rupee,Indian Rupee,US Dollar,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee,Indian Rupee
powercode,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Billions,Millions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Billions,Millions,Units,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,2011-12,2011-12,,,2011-12,2011-12,,,2011-12,2011-12,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,,,2015,,,2015,2011-12,2011-12,2015,2015,,,,,2011-12,2011-12,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49344,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04448,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43963,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91088,,,,,,
